Tiempo,Q_DEEN,Caudal BPIL
60200,79.6953,96.1441
60300,79.5332,95.9605
60400,79.3713,95.7771
60500,79.2095,95.5939
60600,79.0479,95.4109
60700,78.8865,95.228
60800,78.7253,95.0454
60900,78.5641,94.863
61000,78.4032,94.6808
61100,78.2424,94.4988
61200,78.0818,94.317
61300,77.9213,94.1354
61400,77.761,93.954
61500,77.6009,93.7728
61600,77.4409,93.5919
61700,77.2811,93.4111
61800,77.1214,93.2305
61900,76.962,93.0502
62000,76.8026,92.8701
62100,76.6435,92.6901
62200,76.4845,92.5104
62300,76.3257,92.3308
62400,76.167,92.1515
62500,76.0085,91.9724
62600,75.8502,91.7934
62700,75.692,91.6147
62800,75.534,91.4361
62900,75.3762,91.2578
63000,75.2185,91.0796
63100,75.061,90.9016
63200,74.9037,90.7238
63300,74.7465,90.5462
63400,74.5895,90.3688
63500,74.4327,90.1916
63600,74.276,90.0145
63700,74.1195,89.8377
63800,73.9632,89.661
63900,73.807,89.4845
64000,73.651,89.3082
64100,73.4952,89.1321
64200,73.3395,88.9562
64300,73.184,88.7804
64400,73.0287,88.6049
64500,72.8735,88.4295
64600,72.7185,88.2543
64700,72.5637,88.0793
64800,72.409,87.9045
64900,72.2545,87.7299
65000,72.1001,87.5554
65100,71.946,87.3811
65200,71.7919,87.2071
65300,71.6381,87.0332
65400,71.4843,86.8594
65500,71.3308,86.6859
65600,71.1774,86.5126
65700,71.0242,86.3394
65800,70.8711,86.1664
65900,70.7182,85.9936
66000,70.5655,85.821
66100,70.4129,85.6485
66200,70.2604,85.4762
66300,70.1081,85.3042
66400,69.956,85.1322
66500,69.804,84.9605
66600,69.6522,84.7889
66700,69.5006,84.6176
66800,69.3491,84.4464
66900,69.1977,84.2753
67000,69.0465,84.1045
67100,68.8955,83.9338
67200,68.7446,83.7633
67300,68.5938,83.593
67400,68.4433,83.4229
67500,68.2928,83.2529
67600,68.1425,83.0831
67700,67.9924,82.9135
67800,67.8424,82.744
67900,67.6926,82.5747
68000,67.5429,82.4056
68100,67.3933,82.2367
68200,67.2439,82.068
68300,67.0947,81.8994
68400,66.9456,81.731
68500,66.7966,81.5627
68600,66.6478,81.3947
68700,66.4992,81.2268
68800,66.3506,81.0591
68900,66.2023,80.8915
69000,66.054,80.7241
69100,65.9059,80.5569
69200,65.758,80.3899
69300,65.6102,80.223
69400,65.4625,80.0563
69500,65.315,79.8897
69600,65.1676,79.7234
69700,65.0204,79.5571
69800,64.8733,79.3911
69900,64.7264,79.2252
70000,64.5796,79.0595
70100,64.4329,78.894
70200,64.2864,78.7286
70300,64.14,78.5633
70400,63.9937,78.3983
70500,63.8476,78.2334
70600,63.7017,78.0686
70700,63.5558,77.9041
70800,63.4101,77.7396
70900,63.2646,77.5754
71000,63.1192,77.4113
71100,62.9739,77.2474
71200,62.8287,77.0836
71300,62.6837,76.92
71400,62.5389,76.7565
71500,62.3941,76.5932
71600,62.2495,76.43
71700,62.1051,76.267
71800,61.9607,76.1042
71900,61.8165,75.9415
72000,61.6725,75.779
72100,61.5285,75.6166
72200,61.3847,75.4544
72300,61.241,75.2923
72400,61.0975,75.1304
72500,60.9541,74.9687
72600,60.8108,74.807
72700,60.6677,74.6456
72800,60.5246,74.4843
72900,60.3818,74.3231
73000,60.239,74.1621
73100,60.0964,74.0013
73200,59.9539,73.8406
73300,59.8115,73.68
73400,59.6692,73.5196
73500,59.5271,73.3594
73600,59.3851,73.1992
73700,59.2433,73.0393
73800,59.1015,72.8795
73900,58.9599,72.7198
74000,58.8184,72.5603
74100,58.677,72.4009
74200,58.5358,72.2417
74300,58.3946,72.0826
74400,58.2536,71.9237
74500,58.1128,71.7649
74600,57.972,71.6062
74700,57.8314,71.4477
74800,57.6908,71.2893
74900,57.5504,71.1311
75000,57.4102,70.973
75100,57.27,70.8151
75200,57.13,70.6573
75300,56.9901,70.4996
75400,56.8503,70.3421
75500,56.7106,70.1847
75600,56.571,70.0275
75700,56.4316,69.8704
75800,56.2922,69.7134
75900,56.153,69.5566
76000,56.0139,69.3999
76100,55.8749,69.2433
76200,55.7361,69.0869
76300,55.5973,68.9306
76400,55.4587,68.7745
76500,55.3201,68.6185
76600,55.1817,68.4626
76700,55.0434,68.3068
76800,54.9052,68.1512
76900,54.7671,67.9958
77000,54.6292,67.8404
77100,54.4913,67.6852
77200,54.3536,67.5301
77300,54.2159,67.3752
77400,54.0784,67.2203
77500,53.941,67.0656
77600,53.8037,66.9111
77700,53.6665,66.7566
77800,53.5294,66.6023
77900,53.3924,66.4482
78000,53.2555,66.2941
78100,53.1187,66.1402
78200,52.9821,65.9864
78300,52.8455,65.8327
78400,52.709,65.6792
78500,52.5727,65.5258
78600,52.4365,65.3725
78700,52.3003,65.2193
78800,52.1643,65.0662
78900,52.0283,64.9133
79000,51.8925,64.7605
79100,51.7568,64.6078
79200,51.6211,64.4553
79300,51.4856,64.3028
79400,51.3502,64.1505
79500,51.2149,63.9983
79600,51.0796,63.8462
79700,50.9445,63.6943
79800,50.8095,63.5424
79900,50.6745,63.3907
80000,50.5397,63.2391
80100,50.405,63.0876
80200,50.2703,62.9363
80300,50.1358,62.785
80400,50.0013,62.6339
80500,49.867,62.4828
80600,49.7327,62.3319
80700,49.5985,62.1811
80800,49.4645,62.0304
80900,49.3305,61.8799
81000,49.1966,61.7294
81100,49.0628,61.5791
81200,48.9291,61.4288
81300,48.7955,61.2787
81400,48.662,61.1287
81500,48.5286,60.9788
81600,48.3953,60.829
81700,48.262,60.6793
81800,48.1289,60.5297
81900,47.9958,60.3803
82000,47.8628,60.2309
82100,47.7299,60.0817
82200,47.5971,59.9325
82300,47.4644,59.7835
82400,47.3318,59.6345
82500,47.1992,59.4857
82600,47.0668,59.337
82700,46.9344,59.1884
82800,46.8021,59.0398
82900,46.6699,58.8914
83000,46.5378,58.7431
83100,46.4057,58.5949
83200,46.2738,58.4468
83300,46.1419,58.2988
83400,46.0101,58.1508
83500,45.8784,58.003
83600,45.7468,57.8553
83700,45.6152,57.7077
83800,45.4837,57.5602
83900,45.3524,57.4128
84000,45.221,57.2654
84100,45.0898,57.1182
84200,44.9586,56.9711
84300,44.8276,56.824
84400,44.6965,56.6771
84500,44.5656,56.5302
84600,44.4348,56.3835
84700,44.304,56.2368
84800,44.1733,56.0902
84900,44.0426,55.9438
85000,43.9121,55.7974
85100,43.7816,55.6511
85200,43.6512,55.5049
85300,43.5208,55.3587
85400,43.3906,55.2127
85500,43.2604,55.0668
85600,43.1302,54.9209
85700,43.0002,54.7751
85800,42.8702,54.6295
85900,42.7402,54.4839
86000,42.6104,54.3383
86100,42.4806,54.1929
86200,42.3509,54.0476
86300,42.2212,53.9023
86400,42.0916,53.7571
86500,41.9621,53.612
86600,41.8326,53.467
86700,41.7033,53.3221
86800,41.5739,53.1772
86900,41.4447,53.0325
87000,41.3154,52.8878
87100,41.1863,52.7432
87200,41.0572,52.5986
87300,40.9282,52.4542
87400,40.7992,52.3098
87500,40.6703,52.1655
